0 0 50 50 0 200000 1
51 0 50 50 0 200001 1
64 0 64 90 6 200002 9 // player standing
128 0 64 90 6 200003 9 // player walking
192 0 64 90 6 200004 9 // player walking
192 0 64 90 6 200005 9 // duplicate tile
51 51 50 50 0 200006
160 5 30 30 8 200007 9
160 5 30 30 8 200008 9
160 5 30 30 8 200009 9
0 153 101 101 0 200010 3
102 153 101 101 0 200011 3
204 153 50 50 0 200012 3
0 0 70 35 2 200028 9
0 0 70 35 5 200032 9
0 0 16 16 3 200029 1
16 0 16 16 3 200030 1
32 0 16 16 3 200031 1
48 0 32 32 3 400002 1
0 94 51 45 8 400000 9 // hud
47 190 51 47 8 400001 9 // hud
0 0 64 100 6 400003 9
42 0 423 82 4 400004 9
502 288 72 72 7 400005 9
70 0 70 71 7 400006 9 // ending
0 790 70 71 7 400007 1 // box
